jobTitle,companyName,location,date,page,job,salary
Data scientist / Chargé(e) d'études sur la petite enfance F/H,La Sécu recrute,Paris 14e (75),PostedOffre publiée il y a 4 jour,2,42,À partir de 42 600 € par an
Data Scientist Opération & Finance,Chanel,Paris (75),PostedOffre publiée il y a plus de 30 jours,2,43,
DATA SCIENTIST,Keros group,Paris (75),PostedOffre publiée il y a 6 jour,2,44,De 60 000 € à 80 000 € par an
Data Analyst H/F,Crédit Agricole Assurances,Paris (75)+1 location,PostedOffre publiée il y a plus de 30 jours,3,45,
Data Scientist F/H,Docaposte,Télétravail à Lyon (69),PostedOffre publiée il y a 3 jour,3,46,
Consultant Datascientist Confirmé / Sénior H/F,Square Management,Paris (75),PostedOffre publiée il y a plus de 30 jours,3,47,
Data Scientist,Generali France,93200 Saint-Denis,PostedOffre publiée il y a plus de 30 jours,3,48,
Data Analyst H/F,La Mutuelle Familiale,75010 Paris 10e,PostedOffre publiée il y a 5 jour,3,49,À partir de 40 000 € par an
Data Scientist F/H,Bouygues Telecom,92360 Meudon,PostedOffre publiée il y a 4 jour,3,50,
Data Scientist (H/F),Square Management,Neuilly-sur-Seine (92),EmployerEmployeur actif il y a 18 jours,3,51,De 40 000 € à 70 000 € par an
Data Scientist,BIC,Clichy (92),PostedPublié à l'instant,3,52,
Trading Data Scientist,ENGIE Global Markets S.A.S.,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,3,53,
Chargé d'études/data scientist connaissance client H/F,PRINTEMPS,Paris (75),PostedOffre publiée il y a plus de 30 jours,3,54,
DATA SCIENTIST COMPUTER VISION,Aquila Data Enabler,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,3,55,
Data Scientist H/F,Attineos,Télétravail hybride à 92800 Puteaux,EmployerEmployeur actif il y a 5 jours,3,56,De 45 000 € à 50 000 € par an
DATA SCIENTIST (H/F),Selfing,Saint-Rémy-lès-Chevreuse (78),PostedOffre publiée il y a 9 jour,3,57,
Data Scientist (f/h),Gueudet,Amiens (80),PostedOffre publiée il y a 20 jour,3,58,
Data Scientist,Datagram,75003 Paris,PostedOffre publiée il y a plus de 30 jours,3,59,
Data scientist - h/f,FREE RESEAU,75008 Paris,PostedOffre publiée il y a 11 jour,4,60,
Data Scientist M/F,Pernod Ricard,75380 Paris,PostedOffre publiée il y a plus de 30 jours,4,61,
Data Engineer / Data Scientist (IT) / Freelance,Phaidon London- Glocomms,Paris (75),PostedOffre publiée il y a plus de 30 jours,4,62,De 400 € à 810 € par jour
Consultant Data Scientist,CAPGEMINI ENGINEERING,Paris (75),PostedOffre publiée il y a 18 jour,4,63,
Data Science - Causalité et IA Explicabilité H/F,TotalEnergies,Palaiseau (91),PostedOffre publiée il y a 12 jour,4,64,
STAGE - Data Scientist F/H,TotalEnergies,Courbevoie (92),PostedOffre publiée il y a plus de 30 jours,4,65,
Data Analyst - F/H,CHRONOPOST,Paris 14e (75),PostedOffre publiée il y a 18 jour,4,66,
Data Scientist - Deep learning & GenerativeAI H/F,Crédit Agricole CIB,Montrouge (92),PostedOffre publiée il y a 10 jour,4,67,
STAGE - Customer Adoption Data Scientist (H/F),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 16 jour,4,68,
DATA Scientist H/F-(H/F),ALD Automotive,Clichy (92),PostedOffre publiée il y a plus de 30 jours,4,69,
Data analyst H/F,Coriolis Télécom,Télétravail hybride à Paris (75),PostedOffre publiée il y a 3 jour,4,70,De 45 000 € à 60 000 € par an
Data Analyst DBT,Infogene,Neuilly-sur-Seine (92),PostedOffre publiée il y a 3 jour,4,71,
Data Scientist (F/H/NB),Ubisoft,Bordeaux (33),PostedOffre publiée il y a 13 jour,4,72,
Neuronal Data scientist (M/F),ICM Institut du Cerveau,75013 Paris 13e,EmployerEmployeur actif il y a 3 jours,4,73,À partir de 40 000 € par an
Data Scientist (H/F),SII Technologies GmbH HR-Service,Paris (75),PostedOffre publiée il y a 16 jour,4,74,De 42 000 € à 55 000 € par an
[PARIS] Data Scientist (H/F),Meritis,Paris (75),PostedOffre publiée il y a plus de 30 jours,5,75,
Data Scientist ML,TotalEnergies,Paris (75),PostedOffre publiée il y a plus de 30 jours,5,76,
"Computer Vision ML, Data scientist",Sightengine,Télétravail,PostedOffre publiée il y a plus de 30 jours,5,77,
Data Scientist,Artefact,75009 Paris,PostedOffre publiée il y a plus de 30 jours,5,78,
Data Scientist H/F,Nexton Consulting FR,Lyon (69),PostedOffre publiée il y a 5 jour,5,79,
Data Scientist,Pernod Ricard,75380 Paris,PostedOffre publiée il y a plus de 30 jours,5,80,
Data Scientist,EUROCONTROL - Supporting European Aviation,Brétigny-sur-Orge (91),PostedOffre publiée il y a 17 jour,5,81,
Consultant(e) Data Scientist / Recherche Opérationnelle,Sia Partners,75008 Paris,PostedOffre publiée il y a 10 jour,5,82,
Data Scientist- F/H,TotalEnergies,Tour-en-Sologne (41),PostedOffre publiée il y a plus de 30 jours,5,83,
Data Scientist / Python (IT) / Freelance,KatchMe Consulting,92400 Courbevoie,PostedOffre publiée il y a 25 jour,5,84,
DATA SCIENTIST SENIOR F/H,Carrefour,Massy (91),PostedOffre publiée il y a 10 jour,5,85,
Data Analyst - H/F,E.Leclerc,94200 Ivry-sur-Seine,PostedOffre publiée il y a plus de 30 jours,5,86,
Internship – Data scientist,Systemathics,Paris (75),PostedOffre publiée il y a plus de 30 jours,5,87,
DATA ANALYST F/H,L'Opcommerce,75017 Paris+1 location,PostedOffre publiée il y a 12 jour,5,88,
Data Scientist,La Banque Postale,Issy-les-Moulineaux (92),PostedOffre publiée il y a 16 jour,5,89,
Margo Analytics - Data Scientist - H/F,Margo Conseil,75008 Paris,PostedOffre publiée il y a plus de 30 jours,6,90,
Job offer Chargé de Conformité - Analyste en protection des données personnelles confirmé (H/F) - BNP Paribas,BNP Paribas,Paris (75),PostedOffre publiée il y a 20 jour,6,91,
Data Manager / Data Scientist,IHU ICAN,75013 Paris 13e,EmployerEmployeur actif il y a 5 jours,6,92,
Data Science – Computer Vision NLP H/F,LCL,94811 Villejuif,PostedOffre publiée il y a plus de 30 jours,6,93,
Data analyst H/F,Nexton Consulting FR,Paris (75)+1 location,PostedOffre publiée il y a 4 jour,6,94,
Data Scientist H/F,MP DATA,Télétravail à Télétravail,EmployerEmployeur actif il y a 3 jours,6,95,De 35 000 € à 60 000 € par an
DATA SCIENTIST H/F,Eramet,Télétravail hybride à Trappes (78),PostedOffre publiée il y a 16 jour,6,96,
CONSULTANT DÉBUTANT DATA ANALYST EN FINANCEMENT F/H,KPMG,92066 La Défense,PostedOffre publiée il y a plus de 30 jours,6,97,
Data Analyst - Banque - Ile de France,Sopra Steria,92400 Courbevoie,PostedOffre publiée il y a 4 jour,6,98,
DATA SCIENTIST F/H,AG2R La Mondiale,Paris (75),PostedOffre publiée il y a plus de 30 jours,6,99,
STAGE - DATA ANALYST F/H,Louis Vuitton,Paris (75),PostedOffre publiée il y a 5 jour,6,100,
Data Scientist,datafab.io,94160 Saint-Mandé,PostedOffre publiée il y a plus de 30 jours,6,101,
Stagiaire Data Science H/F,Galeries Lafayette,Paris (75),PostedOffre publiée il y a 30 jour,6,102,
DATA ANALYST (F/H),Carrefour,Télétravail hybride à Massy (91),PostedOffre publiée il y a 28 jour,6,103,
Data Scientist (H/F),Sii,Paris (75),PostedOffre publiée il y a 17 jour,6,104,De 42 000 € à 55 000 € par an
STAGE - Data Scientist (F/H) - NETVIBES,Dassault Systèmes,Paris (75),PostedOffre publiée il y a 25 jour,7,105,
DATA SCIENTIST (IT) / Freelance,OCSI,Paris (75),PostedOffre publiée il y a 30 jour,7,106,
Data Scientist,Franfinance,Télétravail hybride à Nanterre (92),PostedOffre publiée il y a plus de 30 jours,7,107,
Data Scientist chargé de modélisation en fiabilité et comportement moteur en exploitation F/H F/H,Safran,Montereau-sur-le-Jard (77),PostedOffre publiée il y a 10 jour,7,108,
Data analysts H/F,Sepur,Télétravail hybride à 92000 Nanterre+2 locations,PostedOffre publiée il y a 25 jour,7,109,De 20 000 € à 30 000 € par an
Stagiaire Data Scientist H/F,SmartOp SAS,Télétravail à Télétravail,PostedOffre publiée il y a plus de 30 jours,7,110,1 200 € par mois
STAGE – Data Scientist - ENOVIA R&D (F/H),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 11 jour,7,111,
STAGE - Data Scientist - Industry Intelligence (H/F) - Mars 2024,Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a plus de 30 jours,7,112,
Data Scientist,Happy Hire,35000 Rennes,PostedOffre publiée il y a 5 jour,7,113,De 40 000 € à 43 000 € par an
Data Scientist Intern (M/F/X),Reveal,75009 Paris,PostedOffre publiée il y a 16 jour,7,114,
Data Scientist Paris/Ile-de-France H/F,JEMS S.A,92200 Neuilly-sur-Seine,PostedOffre publiée il y a plus de 30 jours,7,115,
CDI- Senior Data Scientist (H/F) - Gif-sur-Yvette (91),Danone,91190 Gif-sur-Yvette,PostedOffre publiée il y a 18 jour,7,116,
ALTERNANCE - DATA SCIENTIST (F/H),Carrefour,Évry (91),PostedOffre publiée il y a plus de 30 jours,7,117,
DATA ANALYST N6/7 selon profil- H/F,La Sécu recrute,Paris (75),PostedOffre publiée il y a 23 jour,7,118,De 33 607 € à 40 000 € par an
Data Analyst H/F,Ville de Paris,Télétravail hybride à 75004 Paris 4e,EmployerEmployeur actif il y a 11 jours,7,119,
DATA SCIENTIST,Aquila Data Enabler,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,8,120,
Stagiaire (H/F) Data Scientist,SUEZ,78290 Croissy-sur-Seine,PostedOffre publiée il y a plus de 30 jours,8,121,
Data Scientist - Intern,Descartes Underwriting,75017 Paris,PostedOffre publiée il y a plus de 30 jours,8,122,
Data Scientist H/F - Paris,AVISIA,75116 Paris+1 location,PostedOffre publiée il y a plus de 30 jours,8,123,
Data Scientist Energétique,WeSmart,Paris (75),PostedOffre publiée il y a plus de 30 jours,8,124,De 45 000 € à 65 000 € par an
Data Analytics - Researcher/Data Scientist - Internship,Capital Management Fund,Paris (75),PostedOffre publiée il y a 25 jour,8,125,
ALTERNANCE - Data Analyst Paiement H/F - SNCF Voyageurs,SNCF,93210 Saint-Denis,PostedOffre publiée il y a 19 jour,8,126,
Data Scientist NLP- LLM F/H,whoz,Télétravail hybride à 75008 Paris,PostedOffre publiée il y a plus de 30 jours,8,127,
DATA SCIENTIST F/H,Orano,78180 Montigny-le-Bretonneux,PostedOffre publiée il y a plus de 30 jours,8,128,
Data Analyst Intern - France,Electra,75017 Paris,PostedOffre publiée il y a 5 jour,8,129,
Senior Data Scientist (H/F),Chanel,Paris (75),PostedOffre publiée il y a 6 jour,8,130,
[CDI] Data Analyst Junior F/H,Wunderman Thompson,Lille (59),PostedOffre publiée il y a 4 jour,8,131,
DATA SCIENTIST NLP,Aquila Data Enabler,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,8,132,
SAINT LAURENT Data Analyst Internship H/F,Groupe Kering,Paris (75),PostedOffre publiée il y a plus de 30 jours,8,133,
ALTERNANT(E) – DATA SCIENTIST H/F,Lefebvre Sarrut,Levallois-Perret (92),PostedOffre publiée il y a plus de 30 jours,8,134,
Data Scientist,Data Recrutement,Télétravail à Paris (75),PostedOffre publiée il y a plus de 30 jours,9,135,De 50 000 € à 65 000 € par an
Data scientist/Data analyste informatique (IT) / Freelance,Groupe ASTEK,92100 Boulogne-Billancourt,PostedOffre publiée il y a plus de 30 jours,9,136,De 400 € à 570 € par jour
ANALYSTE DATA QUALITÉ - PARIS (F/H),CNAV,Paris (75)+1 location,PostedOffre publiée il y a 3 jour,9,137,De 40 000 € à 48 000 € par an
Analyste Quantitatif / Data Scientist H/F,Crédit Agricole S.A.,Montrouge (92),PostedOffre publiée il y a plus de 30 jours,9,138,
Data Scientist,Harnham,Paris (75),PostedOffre publiée il y a plus de 30 jours,9,139,De 50 000 € à 65 000 € par an
Data Analyst H/F,GIEA,75002 Paris,EmployerEmployeur actif il y a 10 jours,9,140,
ALTERNANCE - ALTERNANCE - Data Scientist finance HData Scientist finance F/H,Dogfinance,Paris 1er (75),PostedOffre publiée il y a 8 jour,9,141,
Data Scientist (IT) / Freelance,BLOOMAYS,92230 Gennevilliers,PostedOffre publiée il y a 30 jour,9,142,
CDI - Global Finance Data Analyst (W/M),Sephora,Neuilly-sur-Seine (92),PostedOffre publiée il y a 29 jour,9,143,
Data Scientist (IT) / Freelance,Trait d'Union Consulting,Paris (75),PostedOffre publiée il y a 28 jour,9,144,
Data Scientist - Stage H/F,ECP - Euro Contrôle Projet,Courbevoie (92),PostedOffre publiée il y a 10 jour,9,145,
Data Scientist,Adevinta,Paris (75),PostedOffre publiée il y a plus de 30 jours,9,146,
Data Scientist – Lyon (F/H),Novencia,Lyon (69),PostedOffre publiée il y a 3 jour,9,147,
Data Scientist/Data Engineer,VESPERIA,Paris (75),PostedOffre publiée il y a 6 jour,9,148,De 50 000 € à 65 000 € par an
Data Scientist H/F senior,CAERUS MEDICAL,Télétravail hybride à 75015 Paris 15e,EmployerEmployeur actif il y a 21 jours,9,149,De 30 000 € à 60 000 € par an
Data Scientist (F/H) Lyon Part-Dieu,Konecranes,Lyon (69),PostedOffre publiée il y a 25 jour,10,150,
Data Scientist – Machine und Deep learning (M/F),DAVIDSON,Boulogne-Billancourt (92),PostedOffre publiée il y a plus de 30 jours,10,151,
Stagiaire fin d'étude - Data Scientist F/H,Deloitte,La Défense (92),PostedOffre publiée il y a plus de 30 jours,10,152,
Data analyst projet F/H,Orano,92320 Châtillon,PostedOffre publiée il y a 2 jour,10,153,
Data Scientist junior H/F,Digiwide,Bordeaux (33),PostedOffre publiée il y a plus de 30 jours,10,154,
Data Scientist Junior,Xtramile,57000 Metz+1 location,PostedOffre publiée il y a plus de 30 jours,10,155,39 000 € par an
"Data Scientist (full time, all seniority levels) - QuantumBlack",McKinsey & Company,75008 Paris,PostedOffre publiée il y a plus de 30 jours,10,156,
DATA SCIENTIST,Wizaly,Paris 17e (75),PostedOffre publiée il y a plus de 30 jours,10,157,
Product Data Scientist Intern,Criteo,Télétravail hybride à Paris (75),PostedOffre publiée il y a plus de 30 jours,10,158,
Junior Analytics Engineer - Data Capabilities,BlaBlaCar,Télétravail à Paris (75),PostedOffre publiée il y a 12 jour,10,159,
Data scientist,FABDEV,75015 Paris,PostedOffre publiée il y a plus de 30 jours,10,160,
AI/ML Data Scientist (Telecoms),MBR Partners,Paris (75),PostedOffre publiée il y a plus de 30 jours,10,161,
Data Scientist Position,PARIS-SACLAY CENTER FOR DATA SCIENCE,Orsay (91),PostedOffre publiée il y a plus de 30 jours,10,162,
Data Scientist,Fideliz,75009 Paris,PostedOffre publiée il y a plus de 30 jours,10,163,
Data Science,Schlumberger,Montpellier (34),PostedOffre publiée il y a 2 jour,10,164,
CDI - Data Analyst H/F/X - YVES ROCHER,Groupe Rocher,92130 Issy-les-Moulineaux,PostedOffre publiée il y a 25 jour,11,165,
Neuronal Data scientist,Institut du Cerveau et de la Moelle Épinière,75013 Paris,PostedOffre publiée il y a plus de 30 jours,11,166,
Innovation / R&D / Data Sciences_Modèle d'offre d'emploi,SUEZ,92040 Courbevoie,PostedOffre publiée il y a plus de 30 jours,11,167,
DATA SCIENTIST F/H,Caisse des Dépôts,Paris (75),PostedOffre publiée il y a plus de 30 jours,11,168,
Analyste quantitatif notation / Data scientist F/H,Bpifrance,94710 Maisons-Alfort,PostedOffre publiée il y a 25 jour,11,169,
Data Scientist Freelance (IT) / Freelance,Lawrence Harvey (LHI group limited),Paris (75),PostedOffre publiée il y a 4 jour,11,170,
Data Scientist / Analyse P&ID - stage H/F,ECP - Euro Contrôle Projet,Courbevoie (92),PostedOffre publiée il y a 10 jour,11,171,
Data Analyst H/F,McDonald's France,78280 Guyancourt,PostedOffre publiée il y a 9 jour,11,172,
Data Scientist- ML Engineers H/F,TOTAL DIGITAL FACTORY,Paris (75),PostedOffre publiée il y a plus de 30 jours,11,173,
Stage - Data Analyst H/F,SUEZ,92040 Courbevoie,PostedOffre publiée il y a plus de 30 jours,11,174,
R&D Data Scientist - CDI,Descartes Underwriting,Télétravail hybride à 75017 Paris,PostedOffre publiée il y a plus de 30 jours,11,175,
Intern - Junior Computer Scientist / Data Scientist,SOPHiA GENETICS,Bidart (64),PostedOffre publiée il y a 25 jour,11,176,
Consultant Citizen Data Scientist (2 ans d'expérience minimum) - F/H/N,OCTO Technology,75002 Paris,PostedOffre publiée il y a 3 jour,11,177,
Stage - Data Scientist - SBS - Paris/ UK,Sopra Banking Software,75016 Paris,PostedOffre publiée il y a 11 jour,11,178,
Data analyst en alternance (H/F) - Boulogne-Billancourt,Cegedim,92100 Boulogne-Billancourt,PostedOffre publiée il y a 2 jour,11,179,
Stage - Data Analyst/ Business Analyst H/F,Nestle,75015 Paris 15e,PostedOffre publiée il y a plus de 30 jours,12,180,
Data Analyst Programmatique,Numberly,75009 Paris,PostedOffre publiée il y a 13 jour,12,181,
Data analyst junior H/F,SIACI SAINT HONORE,Paris (75),PostedOffre publiée il y a plus de 30 jours,12,182,
Data analyst (H/F) - stage,Saint Gobain,92096 Courbevoie,PostedOffre publiée il y a 16 jour,12,183,
Data Analyst (H/F),Mydral,75002 Paris,PostedOffre publiée il y a plus de 30 jours,12,184,
Stagiaire Data Scientist,Air Liquide,Bagneux (92),PostedOffre publiée il y a plus de 30 jours,12,185,
Data Scientist Business,Numberly,75009 Paris,PostedOffre publiée il y a plus de 30 jours,12,186,
Data Scientist,Nova Consulting,Paris 4e (75),PostedOffre publiée il y a plus de 30 jours,12,187,
DATA ANALYST FRAUDE H/F,LCL,94811 Villejuif,PostedOffre publiée il y a plus de 30 jours,12,188,
"Data Science Intern, PhD, 2024",Google,Paris (75),PostedOffre publiée il y a 25 jour,12,189,
Data Scientist mécanique (IT) / Freelance,SELFING,78470 Saint-Rémy-lès-Chevreuse,PostedOffre publiée il y a 6 jour,12,190,De 400 € à 500 € par jour
STAGE – SUPPLY CHAIN DATA & RPA ANALYST JUNIOR F/H,Louis Vuitton,Paris (75),PostedOffre publiée il y a 5 jour,12,191,
ANALYSTE DES DONNÉES - H/F,Caisse des Dépôts,Paris (75),PostedOffre publiée il y a 2 jour,12,192,
Data Analyst DBT (F/H),INFOGENE,92150 Suresnes,PostedOffre publiée il y a 3 jour,12,193,
CDI - Data Analyst - Pôle Haute Joaillerie (H/F),Cartier Joaillerie,Paris (75),PostedOffre publiée il y a plus de 30 jours,12,194,
JUNIOR DATA ANALYST /DATA VIZ F/H - EN ALTERNANCE,Carrefour,Télétravail hybride à Massy (91),PostedOffre publiée il y a plus de 30 jours,13,195,
Machine Learning Scientist H/F,Egis,Montreuil (93),PostedOffre publiée il y a plus de 30 jours,13,196,
Data analyst H/F,BforBank,Télétravail hybride à La Défense (92),PostedOffre publiée il y a plus de 30 jours,13,197,
Data Analyst/Data Scientist H/F,SERYCE,Paris (75),PostedOffre publiée il y a 20 jour,13,198,
Data scientist / Statistician H/F,SIACI SAINT HONORE,Paris (75),PostedOffre publiée il y a plus de 30 jours,13,199,
DATA SCIENTIST CONFIRME - CDD 18 mois H/F,CNP Assurances,Paris (75),PostedOffre publiée il y a 14 jour,13,200,
Data Analyst (H/F) - Boulogne-Billancourt,Cegedim,92100 Boulogne-Billancourt,PostedOffre publiée il y a 26 jour,13,201,
Data Scientist NLP sénior,MP DATA,92100 Boulogne-Billancourt,EmployerEmployeur actif il y a 2 jours,13,202,De 40 000 € à 65 000 € par an
Data Analyst - Marketing Editorial (H/F) - ALTERNANCE,Groupe Cerise,Gennevilliers (92),PostedOffre publiée il y a 16 jour,13,203,
Analyste Stratégie et Data F/H,Bpifrance,75009 Paris,PostedOffre publiée il y a 6 jour,13,204,
Data Scientist spécialisé en ML / DL Computer Vision / OCR (IT) / Freelance,WHEEL OF WORK,59000 Lille,PostedOffre publiée il y a plus de 30 jours,13,205,De 600 € à 700 € par jour
Data Scientist confirmé - (H/F),Groupe HLI,Nanterre (92),PostedOffre publiée il y a plus de 30 jours,13,206,
Data scientist / Chargé(e) d'études statistiques RH et politiques jeunesse F/H,La Sécu recrute,Paris 14e (75),PostedOffre publiée il y a 4 jour,13,207,À partir de 42 600 € par an
ALTERNANT – DATA ANALYST / SCIENTIST H/F,LEFEBVRE DALLOZ,Télétravail hybride à 92400 Courbevoie,EmployerEmployeur actif il y a 5 jours,13,208,
Data scientist / Développement projets IA - Stage H/F,ECP - Euro Contrôle Projet,Courbevoie (92),PostedOffre publiée il y a 10 jour,13,209,
Data Scientist - CDI,Descartes Underwriting,75017 Paris,PostedOffre publiée il y a plus de 30 jours,14,210,
Senior Generative AI Data Scientist,Publicis Groupe,75008 Paris,PostedOffre publiée il y a 1 jour,14,211,
Data Scientist H/F,Kaizzen,Télétravail à Marseille (13)+11 locations,EmployerEmployeur actif il y a 3 jours,14,212,À partir de 30 000 € par an
Data Analyst Epargne (H/F),Generali France,93200 Saint-Denis,PostedOffre publiée il y a 17 jour,14,213,
Data Scientist Energy Consultant,WeSmart,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,214,
DATA SCIENTIST-MLOPS F/H,Swiss Life,Levallois-Perret (92),PostedOffre publiée il y a plus de 30 jours,14,215,
Data Scientist,Aosis,Massy (91),PostedOffre publiée il y a plus de 30 jours,14,216,
DATA ANALYST SANTE H/F,Chela+,94100 Paris,PostedOffre publiée il y a plus de 30 jours,14,217,
Data scientist - Full Remote,Urban Linker,Télétravail à Paris (75),PostedOffre publiée il y a plus de 30 jours,14,218,
Senior Data Scientist,Thomas Mazieres,75015 Paris 15e,EmployerEmployeur actif il y a 25 jours,14,219,De 50 000 € à 80 000 € par an
Data Scientist,AZAP,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,220,
Senior Data Scientist - All Gender,Sanofi,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,221,
Medical Biostatistics and Data science specialist H/F,Roche,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,222,
Junior Data Scientist – Semiconductor Manufacturing,Langton Howarth,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,223,
Data scientist H/F - Ancenis / Nantes (IT) / Freelance,LeHibou,44150 Ancenis,PostedOffre publiée il y a 5 jour,14,224,500 € par jour
DATA SCIENCE ENGINEER,Amadeus,Nice (06),PostedOffre publiée il y a 12 jour,15,225,
Data Analyst Operations intern (M/F/X),HelloFresh,Paris (75),PostedOffre publiée il y a 19 jour,15,226,
Data Scientist (IT) / Freelance,SKIILS SAS,Paris (75),PostedOffre publiée il y a plus de 30 jours,15,227,
